"filename", "language", "HTML", "Go", "JavaScript", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\comtSupportDetails\index.html", "HTML", 828, 0, 0, 0, 0, 0, 25, 14, 867
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\contactUs\index.html", "HTML", 798, 0, 0, 0, 0, 0, 12, 9, 819
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\crossLinkDetails\index.html", "HTML", 952, 0, 0, 0, 0, 0, 13, 9, 974
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\delegatedDetails\index.html", "HTML", 956, 0, 0, 0, 0, 0, 13, 9, 978
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\dwdmDetails\index.html", "HTML", 849, 0, 0, 0, 0, 0, 12, 12, 873
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\foundItSysCloud\index.html", "HTML", 973, 0, 0, 0, 0, 0, 12, 9, 994
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\honor\index.html", "HTML", 1016, 0, 0, 0, 0, 0, 14, 25, 1055
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\index.html", "HTML", 1497, 0, 0, 0, 0, 0, 164, 21, 1682
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\joinUs\index.html", "HTML", 685, 0, 0, 0, 0, 0, 12, 10, 707
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\jqdcIntro\index.html", "HTML", 1007, 0, 0, 0, 0, 0, 12, 13, 1032
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\legalNotices\index.html", "HTML", 788, 0, 0, 0, 0, 0, 12, 13, 813
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\map\index.html", "HTML", 739, 0, 0, 0, 0, 0, 12, 11, 762
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\marketDetails\index.html", "HTML", 928, 0, 0, 0, 0, 0, 13, 8, 949
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\newstrends\2019-08-05\543.html", "HTML", 719, 0, 0, 0, 0, 0, 25, 16, 760
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\newstrends\2019-08-22\540.html", "HTML", 720, 0, 0, 0, 0, 0, 26, 16, 762
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\newstrends\2019-10-24\587.html", "HTML", 720, 0, 0, 0, 0, 0, 26, 16, 762
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\newstrends\2020-09-25\745.html", "HTML", 720, 0, 0, 0, 0, 0, 26, 16, 762
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\newstrends\2020-09-29\746.html", "HTML", 718, 0, 0, 0, 0, 0, 24, 16, 758
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\newstrends\index.html", "HTML", 880, 0, 0, 0, 0, 0, 12, 20, 912
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\notice\2019-10-21\586.html", "HTML", 720, 0, 0, 0, 0, 0, 73, 16, 809
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\notice\2019-12-05\590.html", "HTML", 720, 0, 0, 0, 0, 0, 73, 16, 809
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\notice\2020-02-04\611.html", "HTML", 727, 0, 0, 0, 0, 0, 74, 16, 817
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\notice\2020-04-17\641.html", "HTML", 720, 0, 0, 0, 0, 0, 73, 16, 809
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\notice\2020-05-13\691.html", "HTML", 720, 0, 0, 0, 0, 0, 73, 16, 809
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\notice\2020-06-23\708.html", "HTML", 731, 0, 0, 0, 0, 0, 75, 16, 822
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\notice\2020-09-07\717.html", "HTML", 720, 0, 0, 0, 0, 0, 73, 16, 809
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\notice\2020-09-15\741.html", "HTML", 730, 0, 0, 0, 0, 0, 73, 16, 819
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\notice\index.html", "HTML", 759, 0, 0, 0, 0, 0, 12, 11, 782
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\organization\index.html", "HTML", 766, 0, 0, 0, 0, 0, 12, 14, 792
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\otherDetails\index.html", "HTML", 870, 0, 0, 0, 0, 0, 12, 11, 893
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\partyBuild\index.html", "HTML", 848, 0, 0, 0, 0, 0, 12, 12, 872
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\partyField\2019-04-26\255.html", "HTML", 719, 0, 0, 0, 0, 0, 40, 16, 775
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\partyField\2019-04-26\256.html", "HTML", 719, 0, 0, 0, 0, 0, 40, 16, 775
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\partyField\2019-06-24\750.html", "HTML", 720, 0, 0, 0, 0, 0, 40, 16, 776
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\product\index.html", "HTML", 844, 0, 0, 0, 0, 0, 15, 12, 871
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\publicInfo\index.html", "HTML", 850, 0, 0, 0, 0, 0, 12, 9, 871
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\sdhmstpIntro\index.html", "HTML", 967, 0, 0, 0, 0, 0, 13, 9, 989
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\smartCallServiceDetails\index.html", "HTML", 998, 0, 0, 0, 0, 0, 15, 9, 1022
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\supportChannels\index.html", "HTML", 852, 0, 0, 0, 0, 0, 13, 23, 888
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\supportZone\index.html", "HTML", 949, 0, 0, 0, 0, 0, 13, 21, 983
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\techPeriodicalDetails\2019-12-09\592.html", "HTML", 726, 0, 0, 0, 0, 0, 63, 17, 806
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\techPeriodicalDetails\2020-03-05\614.html", "HTML", 726, 0, 0, 0, 0, 0, 63, 17, 806
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\techPeriodicalDetails\2020-05-12\690.html", "HTML", 726, 0, 0, 0, 0, 0, 63, 17, 806
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\techPeriodicalDetails\2020-08-27\736.html", "HTML", 726, 0, 0, 0, 0, 0, 63, 17, 806
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\techPeriodicalDetails\2020-11-10\764.html", "HTML", 725, 0, 0, 0, 0, 0, 61, 17, 803
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\techPeriodicalDetails\index.html", "HTML", 797, 0, 0, 0, 0, 0, 18, 14, 829
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\vsepDetails\index.html", "HTML", 893, 0, 0, 0, 0, 0, 12, 11, 916
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\wgqdcIntro\index.html", "HTML", 1001, 0, 0, 0, 0, 0, 12, 10, 1023
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\ztyProductDetail\index.html", "HTML", 930, 0, 0, 0, 0, 0, 12, 9, 951
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.szse.cn\index.html", "HTML", 3472, 0, 0, 0, 0, 0, 90, 590, 4152
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\etcd\config.go", "Go", 0, 37, 0, 0, 0, 0, 2, 12, 51
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\etcd\config_test.go", "Go", 0, 44, 0, 0, 0, 0, 0, 15, 59
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\etcd\embed.go", "Go", 0, 27, 0, 0, 0, 0, 0, 9, 36
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\etcd\embed_test.go", "Go", 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\etcd\interactor.go", "Go", 0, 125, 0, 0, 0, 0, 10, 43, 178
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\etcd\interactor_test.go", "Go", 0, 100, 0, 0, 0, 0, 0, 24, 124
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\go.mod", "XML", 0, 0, 0, 0, 33, 0, 0, 4, 37
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\htmlutil\htmlfile.go", "Go", 0, 27, 0, 0, 0, 0, 4, 9, 40
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\htmlutil\htmlfile_test.go", "Go", 0, 26, 0, 0, 0, 0, 0, 9, 35
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\local\main.go", "Go", 0, 178, 0, 0, 0, 0, 14, 44, 236
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\local\main_test.go", "Go", 0, 125, 0, 0, 0, 0, 0, 27, 152
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\mock\mock_etcd\interactor_mock.go", "Go", 0, 92, 0, 0, 0, 0, 21, 21, 134
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\mock\mock_xcrawler\html_mock.go", "Go", 0, 143, 0, 0, 0, 0, 31, 31, 205
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\mock\mock_xcrawler\http_mock.go", "Go", 0, 133, 0, 0, 0, 0, 31, 31, 195
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\mock\mock_xcrawler\xcrawler_mock.go", "Go", 0, 77, 0, 0, 0, 0, 17, 17, 111
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\remote\main.go", "Go", 0, 145, 0, 0, 0, 0, 1, 36, 182
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\remote\main_test.go", "Go", 0, 97, 0, 0, 0, 0, 1, 28, 126
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\xcrawler\filter.go", "Go", 0, 28, 0, 0, 0, 0, 0, 10, 38
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\xcrawler\filter_test.go", "Go", 0, 91, 0, 0, 0, 0, 0, 23, 114
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\xcrawler\handler.go", "Go", 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\xcrawler\html.go", "Go", 0, 113, 0, 0, 0, 0, 0, 35, 148
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\xcrawler\html_test.go", "Go", 0, 75, 0, 0, 0, 0, 11, 18, 104
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\xcrawler\http.go", "Go", 0, 78, 0, 0, 0, 0, 2, 23, 103
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\xcrawler\http_test.go", "Go", 0, 59, 0, 0, 0, 0, 0, 18, 77
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\xcrawler\xcrawler.go", "Go", 0, 125, 0, 0, 0, 0, 57, 52, 234
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\xcrawler\xcrawler_test.go", "Go", 0, 152, 0, 0, 0, 0, 0, 44, 196
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\xlogutil\xlogutil.go", "Go", 0, 11, 0, 0, 0, 0, 4, 5, 20
"Total", "-", 61070, 2629, 3452, 16222, 112, 16, 3937, 3654, 91092